AppID,Name,Release date,Estimated owners,Required age,Price,DLC count,Supported languages,Windows,Mac,Linux,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever,Categories,Genres,Tags,Developer,Publisher
946500,Waifu Hunter - Episode 1 : The Runaway Samurai,2018-10-25,0 - 20000,0,1.99,0,['English'],True,False,False,2,4,0,0,0,0,Single-player,"Action,Casual,Indie,RPG,Early Access","['Nudity', 'Action', 'Indie']",Anime Games,Anime Games
678520,Gal*Gun VR,2017-08-09,20000 - 50000,0,29.99,0,"['Japanese', 'English']",True,False,False,381,67,90,415,41,41,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,Indie,Simulation","['Sexual Content', 'VR', 'Anime']","INTI CREATES CO., LTD.","INTI CREATES CO., LTD."
1138960,Biomass,2020-10-12,0 - 20000,0,14.99,1,['English'],True,False,False,78,9,17,0,55,55,"Single-player,Full controller support","Action,Indie,RPG","['Action', 'Indie', 'RPG']",Final Scene dev,Final Scene dev
742480,The Big Journey,2018-04-20,20000 - 50000,0,4.99,1,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Ukrainian']",True,True,False,253,33,31,218,280,280,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Casual,Indie","['Casual', 'Indie', 'Adventure']",Catfishbox,Hook Games
946670,School Owner,2019-10-27,0 - 20000,0,19.99,0,['English'],True,True,True,16,40,6,0,0,0,Single-player,"Indie,Simulation,Strategy,Early Access","['Simulation', 'Early Access', 'Strategy']",Owner Games,Owner Games
746900,A song in the void,2019-03-15,0 - 20000,0,9.99,0,['English'],True,False,False,11,2,23,0,0,0,"Single-player,Steam Achievements,Partial Controller Support","Action,Adventure,Indie","['Adventure', 'Indie', 'Action']",Armogaste,Armogaste
692090,Robin of Loxley the Legend of Sherwood,2017-10-28,0 - 20000,0,6.99,0,['English'],True,False,False,3,2,0,0,0,0,"Single-player,Partial Controller Support",Indie,"['Indie', 'Stealth', 'Arcade']",Indie970,Ghxstudio
1173070,Explosion Magic Firebolt VR,2019-11-08,0 - 20000,0,0.0,0,"['English', 'Japanese']",True,False,False,1,4,6,0,0,0,Single-player,"Action,Indie","['Action', 'Indie', 'VR']",TaroSanseiShokai,TaroSanseiShokai
1753810,Sola,2021-09-28,0 - 20000,0,2.99,0,['English'],True,False,False,1,0,14,0,0,0,"Single-player,Steam Achievements","Action,Adventure,Indie","['3D Platformer', 'Runner', 'Exploration']",HexaScale Games,HexaScale Games
572710,Nancy Drew®: Labyrinth of Lies,2017-02-13,0 - 20000,0,19.99,1,['English'],True,False,False,44,12,0,0,0,0,Single-player,Adventure,"['Adventure', 'Point & Click', 'Puzzle']",HeR Interactive,HeR Interactive
1595760,ScreenSpace,2021-04-23,0 - 20000,0,1.99,0,['English'],True,False,False,1,0,0,0,0,0,Single-player,"Casual,Indie","['Casual', 'Clicker', 'Arcade']",Wave Project,Wave project
1555590,Fish Person Shooter,2021-05-20,0 - 20000,0,12.99,0,['English'],True,False,False,26,2,0,0,0,0,Single-player,"Action,Early Access","['FPS', 'Action', 'Shooter']",8AH,8AH
295790,Never Alone (Kisima Ingitchuna),2014-11-18,500000 - 1000000,0,14.99,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Danish', 'Dutch', 'Finnish', 'Norwegian', 'Polish', 'Swedish', 'Simplified Chinese']",True,True,True,6347,1494,19,5185,178,192,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together","Action,Adventure,Casual,Indie","['Indie', 'Platformer', 'Local Co-Op']","Upper One Games,E-Line Media",E-Line Media
701960,Fish's Trip,2017-09-27,0 - 20000,0,4.99,0,['English'],True,False,False,4,8,0,0,0,0,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Full controller support,Remote Play Together","Adventure,Casual,Indie,Racing","['Adventure', 'Casual', 'Indie']",André Bertaglia,André Bertaglia
637310,Stream Service,2019-08-22,100000 - 200000,0,0.99,0,['English'],True,False,False,27,30,0,0,0,0,"Single-player,Steam Trading Cards,Steam Cloud","Casual,Indie,Simulation","['Casual', 'Simulation', 'Indie']",SirGoose,Ahmchaws Entertainment
1177640,ROCKETRON,2020-02-07,0 - 20000,0,5.99,0,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese']",True,False,False,42,6,0,0,163,163,"Single-player,Full controller support,Steam Cloud","Action,Indie","['Action', 'Indie', 'Metroidvania']",ASTRO PORT,Henteko Doujin
1130410,Cyber Hook,2020-09-24,100000 - 200000,0,14.99,1,"['English', 'French', 'German', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']",True,False,False,1502,80,22,885,188,128,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Includes level editor","Action,Indie","['Indie', '3D Platformer', 'Parkour']",Blazing Stick,Graffiti Games
754480,Dummy!,2018-12-20,0 - 20000,0,0.0,0,"['English', 'Russian']",True,False,False,6,3,4,0,0,0,"Multi-player,Steam Achievements,Steam Workshop,Steam Leaderboards","Casual,Indie","['Indie', 'Casual', 'Trivia']",Toxic Dog,Toxic Dog
597200,Epic Little War Game,2017-05-31,0 - 20000,0,4.99,0,['English'],True,False,False,35,6,15,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Remote Play Together","Indie,Strategy","['Strategy', 'Indie', 'Turn-Based']",Rubicon Development,Rubicon Development
1631930,The Insignia Project,2021-07-16,50000 - 100000,0,1.99,0,['English'],True,False,False,3,1,0,0,0,0,Single-player,"Indie,Early Access","['Early Access', 'Horror', 'Psychological Horror']",Dark End Studios,Dark End Studios
1512960,Parkalien: a ludo in the space,2021-06-11,0 - 20000,0,2.99,0,"['Spanish - Spain', 'English']",True,False,True,11,2,34,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Cloud","Casual,Indie,Strategy","['Turn-Based Tactics', 'PvP', 'Turn-Based Strategy']",Rudber Games,Rudber Games
1333840,Overshadow,2020-06-12,0 - 20000,0,0.0,0,['English'],True,False,False,2,2,0,0,0,0,"Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Full controller support,Remote Play Together","Action,Free to Play,Indie","['PvP', 'Arcade', '2D']",Studio Grawlix,DigiPen Institute of Technology
1525330,Guardians of Hyelore,2021-09-29,0 - 20000,0,19.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese']",True,False,False,23,14,64,0,0,0,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards","Action,Indie,Strategy","['Action RTS', 'Wargame', 'Auto Battler']",Megaglope Studios,Freedom Games
1399750,Beholgar,2022-02-04,0 - 20000,0,8.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Russian', 'Turkish']",True,False,False,73,23,10,0,0,0,"Single-player,Steam Achievements,Full controller support","Action,Adventure,Indie","['Action', 'Adventure', 'Action-Adventure']",Serkan Bakar,Serkan Bakar
1909830,1001 Jigsaw Castles And Palaces 2,2022-02-20,0 - 20000,0,4.99,0,"['English', 'French', 'German', 'Russian']",True,False,False,0,1,0,0,0,0,Single-player,Casual,"['Casual', 'Board Game', 'Puzzle']",8floor,8floor
1545810,COUNT THE DEAD,2021-03-11,0 - 20000,0,14.99,0,"['English', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Russian']",True,False,False,1,0,0,0,0,0,Single-player,"Action,Adventure,Indie,RPG,Early Access","['RPG', 'Hack and Slash', 'Action RPG']",1081GAMES,1081GAMES
270450,Robot Roller-Derby Disco Dodgeball,2015-02-19,200000 - 500000,0,9.99,1,['English'],True,True,True,3537,287,76,2226,213,182,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Remote Play Together","Action,Indie,Sports","['Arena Shooter', 'FPS', 'Sports']",Erik Asmussen,82 Apps
